,,,,,,,,,,,,,,,,,,,,,,,,,,Vcr using FEA,,,,,,,,,,,,,,Vcr using Formula,,,,,,,,,WITH TENSION  ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vcr using FEA,,,Vcr using Formula,,,,Vcr using FEA,,,,Vcr using Formula,,,,,,,,,,,,,,,,,,,,,,
S.NO,SECTON,WEB OPENNG,Depth of Web opening(dwh/d1),dwh/2,d1,tw,tw(mm),rcl(mm),lip length (mm),"d1,d2(mm)",flange width(mm),"b1,b2(mm)",ri(mm),ro(mm),total depth D (mm),total length(mm)with aspect ratio-1,fyw,E,m,a/d,Vu FEM,Linear Buckling load(kN),dwh,dwh/d1,d1/tw,Aw,Vcr FEA,Vy,λv,Vv,c,c/tw,qs,Vnl(AS)FEA,Vnl FEA/Vnl(AS),Kss,Ksf,Kv,Vcr,vy,λv,Vv,c,c/tw,qsAS/NS,VnlWITHOUT TENSION FIELD,VnlFEA/V AS/NS,Vv,Vnl AS/NS,VnlF/Vnl AS/NS,Vv,VnlAS/NS EITH TENSION FEIEL,VnlF/Vnl AS/NS,Vcr(FEA),Vy,vv,qseq,Vcr(eq),Vy,Vv,qs,VNL,qsFEA=Vfea/Vv,VcrFEA/Vcr eq,qsfea/qs eq,qs pro,qsfea/qs pro,vnl pro,vnlFEA/vnl Pro,DSM pro,qs pro,Vnl Pro,vnlFEA/vnl Pro,qs fea/qs pro,Design Shear Resistance (VRd),Vcr,VU(FEA),Vnl DSM,VnlFEA/V AS/NS,Vnl with tension field,VnlFEA/V AS/NS,VN PRO
1,150x60x18x1.5,0,0,0,144,1.5,1.5,2.25,18,15,60,54,1.5,3,150,473,349.1066271,210000,0.3,1,39.14,13.37,0,0,96.00,216,6.68,45.24,2.60,19.59,72.00,48.00,0.89,17.41,2.25,9.34,12.6,10.09,44.83,45.24,1.00,36.71,72.00,48.00,0.89,32.63,1.20,19.59,17.41,2.25,38.34,34.08,1.15,6.68,45.24,19.59,Not Applicable=0,44.83,45.24,38.34,Not Applicable=0,38.40,1.02,0.15,#VALUE!,Not Applicable,#VALUE!,#VALUE!,#VALUE!,35.32,Not Applicable,#VALUE!,#VALUE!,#VALUE!,39.57958821,44.83481268,39.1409,32.62828998,1.199600102,34.08226685,1.148424199,35.31796306
,,0.2,28.8,14.4,144,1.5,1.5,2.25,18,15,60,54,1.5,3,150,473,349.1066271,210000,0.3,1,33.91,11.49,28.8,0.2,96.00,216,5.74,45.24,2.81,5.74,61.82,41.22,0.76,4.38,7.73,9.34,12.6,10.09,44.83,45.24,1.00,36.71,61.82,41.22,0.76,28.02,1.21,18.52,14.13,2.40,38.34,29.26,1.16,5.74,45.24,18.52,0.88,44.83,45.24,38.34,0.88,33.74,0.88,0.13,1.00,0.90,0.98,34.51,0.98,34.70,0.90,31.23,1.09,0.98,39.57958821,44.83481268,33.909,28.01651755,1.210321731,29.26498532,1.158688434,31.22967215
,,0.4,57.6,28.8,144,1.5,1.5,2.25,18,15,60,54,1.5,3,150,473,349.1066271,210000,0.3,1,24.41,5.55,57.6,0.4,96.00,216,2.77,45.24,4.04,2.77,51.65,34.43,0.64,1.77,13.81,9.34,12.6,10.09,44.83,45.24,1.00,36.71,51.65,34.43,0.64,23.40,1.04,14.08,8.98,2.72,38.34,24.45,1.00,2.77,45.24,14.08,0.69,44.83,45.24,38.34,0.69,26.40,0.64,0.06,0.92,0.69,0.93,26.34,0.93,31.87,0.69,21.90,1.11,0.93,39.57958821,44.83481268,24.4134,23.40474511,1.043096171,24.44770379,0.99859685,21.89623157
,,0.6,86.4,43.2,144,1.5,1.5,2.25,18,15,60,54,1.5,3,150,473,349.1066271,210000,0.3,1,16.23,3.96,86.4,0.6,96.00,216,1.98,45.24,4.78,1.98,41.47,27.65,0.51,1.01,16.00,9.34,12.6,10.09,44.83,45.24,1.00,36.71,41.47,27.65,0.51,18.79,0.86,12.39,6.34,2.56,38.34,19.63,0.83,1.98,45.24,12.39,0.43,44.83,45.24,38.34,0.43,16.31,0.42,0.04,1.00,0.46,0.92,17.56,0.92,30.64,0.46,14.04,1.16,0.92,39.57958821,44.83481268,16.2342,18.79297268,0.863844176,19.63042225,0.82699189,14.03536863
,,0.8,115.2,57.6,144,1.5,1.5,2.25,18,15,60,54,1.5,3,150,473,349.1066271,210000,0.3,1,9.91,29.69,115.2,0.8,96.00,216,14.85,45.24,1.75,14.85,31.29,20.86,0.39,5.74,1.73,9.34,12.6,10.09,44.83,45.24,1.00,36.71,31.29,20.86,0.39,14.18,0.70,26.19,10.12,0.98,38.34,14.81,0.67,14.85,45.24,26.19,0.16,44.83,45.24,38.34,0.16,6.22,0.26,0.33,1.59,0.23,1.13,8.78,1.13,38.76,0.23,8.88,1.12,1.13,39.57958821,44.83481268,9.90674,14.18120024,0.698582619,14.81314072,0.668780523,8.875582673
2,150x60x18x2,0,0,0,142,2,2,3,18,14,60,52,2,4,150,469,349.1066271,210000,0.3,1,55.59,478.88,0,0,71.00,284,239.44,59.49,0.50,59.49,71.00,35.50,0.66,39.11,1.42,9.34,12.6,10.09,107.77,59.49,0.74,59.49,71.00,35.50,0.66,39.11,1.42,59.49,39.11,1.42,61.10,40.16,1.38,239.44,59.49,76.65,Not Applicable,107.77,59.49,61.10,Not Applicable,61.10,0.91,2.22,#VALUE!,Not Applicable,#VALUE!,#VALUE!,#VALUE!,68.14,Not Applicable,#VALUE!,#VALUE!,#VALUE!,52.03982894,107.7719441,55.5945,39.10770016,1.421574262,40.1647402,1.384161823,68.13782115
,,0.2,28.4,14.2,142,2,2,3,18,14,60,52,2,4,150,469,349.1066271,210000,0.3,1,51.22,414.00,28.4,0.2,71.00,284,207.00,59.49,0.54,59.49,60.96,30.48,0.56,33.58,1.53,9.34,12.6,10.09,107.77,59.49,0.74,59.49,60.96,30.48,0.56,33.58,1.53,59.49,33.58,1.53,61.10,34.49,1.49,207.00,59.49,73.76,0.88,107.77,59.49,61.10,0.88,53.76,0.84,1.92,0.95,0.90,0.93,54.99,0.93,67.00,0.90,60.30,0.85,0.93,52.03982894,107.7719441,51.2173,33.58011003,1.525227283,34.48774512,1.485086944,60.30218751
,,0.4,56.8,28.4,142,2,2,3,18,14,60,52,2,4,150,469,349.1066271,210000,0.3,1,37.65,199.69,56.8,0.4,71.00,284,99.84,59.49,0.77,59.49,50.93,25.46,0.47,28.05,1.34,9.34,12.6,10.09,107.77,59.49,0.74,59.49,50.93,25.46,0.47,28.05,1.34,59.49,28.05,1.34,61.10,28.81,1.31,99.84,59.49,59.68,0.69,107.77,59.49,61.10,0.69,42.07,0.62,0.93,0.89,0.69,0.90,41.97,0.90,61.59,0.69,42.31,0.89,0.90,52.03982894,107.7719441,37.6513,28.0525199,1.34217176,28.81075004,1.306849004,42.31000522
